OID,FID_1,OBJECTID,CrashSever,CollisionT,Weather,Light,RoadSurfac,TrafficCon,City,Year,Fatality,Injury,X,Y,FULLNAME
1336,2008,1409,A-Injury,Rear end,Clear,Dusk,Wet,No Controls,Urbana,2009,0,1,-88.21299744,40.11650085,State Rte 10
1337,2014,1415,A-Injury,Angle,Clear,Daylight,Wet,Stop Sign/Flasher,Unincorporated,2009,0,2,-88.33319855,40.11330032,State Rte 10
1338,2119,1520,A-Injury,Turning,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2009,0,3,-88.4265976,40.11059952,State Rte 10
1339,2191,1592,A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2009,0,1,-88.29759979,40.11309814,State Rte 10
1340,2226,1627,A-Injury,Angle,Clear,Daylight,Ice,Stop Sign/Flasher,Unincorporated,2010,0,2,-88.44529724,40.10760117,State Rte 10
1341,2265,1666,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2010,0,2,-88.4265976,40.11059952,State Rte 10
1342,2283,1684,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Urbana,2010,0,1,-88.20999908,40.11650085,State Rte 10
1343,2316,1717,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2010,0,2,-88.28279877,40.11289978,State Rte 10
1344,2338,1739,A-Injury,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2010,0,1,-88.27639771,40.1128006,State Rte 10
1345,560,2561,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Unincorporated,2015,0,2,-88.29509735,40.06930161,Curtis Rd
1346,17,2018,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2012,0,2,-88.31420135,40.09199905,Staley Rd
1347,1972,1373,A-Injury,Sideswipe same direction,Clear,Darkness,Dry,Traffic Signal,Champaign,2008,0,1,-88.3144989,40.11320114,Staley Rd
1348,779,180,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2002,0,4,-88.14360046,40.11339951,University Ave
1349,406,2407,A-Injury,Rear end,Clear,Dusk,Dry,Stop Sign/Flasher,Urbana,2014,0,1,-88.20089722,40.14189911,Airport Rd
1350,5,2006,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2012,0,2,-88.25800323,40.13219833,US Hwy 150
1351,21,2022,A-Injury,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Mahomet,2012,0,1,-88.38880157,40.18759918,US Hwy 150
1352,30,2031,A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,Lane Use Marking,Champaign,2012,0,1,-88.25789642,40.12590027,US Hwy 150
1353,43,2044,A-Injury,Other non collision,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2012,0,1,-88.44110107,40.19869995,US Hwy 150
1354,152,2153,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2012,0,1,-88.25789642,40.12220001,US Hwy 150
1355,239,2240,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2013,0,1,-88.25789642,40.12020111,US Hwy 150
1356,320,2321,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2014,0,1,-88.25959778,40.13290024,US Hwy 150
1357,333,2334,A-Injury,Other object,Clear,Daylight,Wet,No Controls,Champaign,2014,0,1,-88.25800323,40.1310997,US Hwy 150
1358,341,2342,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2014,0,2,-88.27719879,40.1391983,US Hwy 150
1359,354,2355,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2014,0,1,-88.25859833,40.13240051,US Hwy 150
1360,526,2527,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Champaign,2015,0,2,-88.25810242,40.13190079,US Hwy 150
1361,559,2560,A-Injury,Turning,Clear,Daylight,Wet,No Controls,Champaign,2015,0,1,-88.26039886,40.1332016,US Hwy 150
1362,580,2581,A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Mahomet,2015,0,1,-88.35710144,40.18069839,US Hwy 150
1363,644,45,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2003,0,1,-88.25779724,40.11629868,US Hwy 150
1364,682,83,A-Injury,Angle,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2003,0,1,-88.27719879,40.1391983,US Hwy 150
1365,691,92,A-Injury,Angle,Clear,Darkness,Dry,Traffic Signal,Champaign,2003,0,2,-88.27719879,40.1391983,US Hwy 150
1366,701,102,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Champaign,2003,0,2,-88.25800323,40.12870026,US Hwy 150
1367,729,130,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2002,0,1,-88.44290161,40.19919968,US Hwy 150
1368,780,181,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Champaign,2002,0,1,-88.28549957,40.14170074,US Hwy 150
1369,801,202,A-Injury,Turning,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2001,0,4,-88.27700043,40.1393013,US Hwy 150
1370,804,205,A-Injury,Rear end,Clear,Darkness,Dry,No Controls,Mahomet,2001,0,2,-88.40609741,40.19189835,US Hwy 150
1371,813,214,A-Injury,Rear end,Clear,Darkness,Wet,No Controls,Unincorporated,2001,0,1,-88.42230225,40.19449997,US Hwy 150
1372,815,216,A-Injury,Angle,Clear,Daylight,Unknown,Stop Sign/Flasher,Unincorporated,2001,0,2,-88.31490326,40.16059875,US Hwy 150
1373,822,223,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2001,0,1,-88.25920105,40.13270187,US Hwy 150
1374,868,269,A-Injury,Angle,Clear,"Darkness, lighted road",Dry,No Controls,Mahomet,2000,0,1,-88.41739655,40.19350052,US Hwy 150
1375,882,283,A-Injury,Overturned,Clear,Darkness,Wet,Lane Use Marking,Champaign,2000,0,1,-88.29650116,40.15150070000001,US Hwy 150
1376,884,285,A-Injury,Overturned,Severe cross wind,Darkness,Snow or slush,No Controls,Mahomet,2000,0,2,-88.37770081,40.18629837,US Hwy 150
1377,906,307,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Unincorporated,2000,0,2,-88.31349945,40.159599299999996,US Hwy 150
1378,965,366,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2000,0,1,-88.31490326,40.16059875,US Hwy 150
1379,1001,402,A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,1999,0,1,-88.27110291,40.13759995,US Hwy 150
1380,1011,412,A-Injury,Angle,Clear,Darkness,Dry,Stop Sign/Flasher,Mahomet,1999,0,2,-88.36530304,40.18429947,US Hwy 150
1381,1063,464,A-Injury,Head on,Fog/Smoke/Haze,Darkness,Wet,Yield,Mahomet,1999,0,3,-88.34030151,40.17259979,US Hwy 150
1382,1066,467,A-Injury,Rear end,Clear,Daylight,Dry,Other,Mahomet,1999,0,1,-88.38890076,40.18759918,US Hwy 150
1383,1098,499,A-Injury,Fixed object,Clear,Darkness,Dry,Stop Sign/Flasher,Unincorporated,2004,0,2,-88.33390045,40.16939926,US Hwy 150
1384,1099,500,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2004,0,6,-88.26270294,40.13430023,US Hwy 150
1385,1267,668,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2005,0,1,-88.27719879,40.1391983,US Hwy 150
1386,1442,843,A-Injury,Parked motor vehicle,Snow,Daylight,Ice,Lane Use Marking,Unincorporated,2006,0,1,-88.30709839,40.15650177,US Hwy 150
1387,1623,1024,A-Injury,Fixed object,Clear,Darkness,Dry,Other Warning Sign,Unincorporated,2007,0,1,-88.28959656,40.14500046,US Hwy 150
1388,1651,1052,A-Injury,Sideswipe opposite direction,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2007,0,1,-88.3167038,40.16180038,US Hwy 150
1389,1864,1265,A-Injury,Rear end,Clear,Daylight,Dry,Police/Flagman,Unincorporated,2008,0,1,-88.28690338,40.14260101,US Hwy 150
1390,1892,1293,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2008,0,1,-88.28980255,40.14530182,US Hwy 150
1391,1933,1334,A-Injury,Turning,Rain,Darkness,Wet,Lane Use Marking,Mahomet,2008,0,1,-88.3647995,40.1841011,US Hwy 150
1392,2026,1427,A-Injury,Pedestrian,Clear,Darkness,Dry,No Controls,Champaign,2009,0,1,-88.25409698,40.11259842,US Hwy 150
1393,2096,1497,A-Injury,Head on,Rain,Daylight,Wet,No Controls,Unincorporated,2009,0,1,-88.28430176,40.14089966,US Hwy 150
1394,2130,1531,A-Injury,Turning,Rain,"Darkness, lighted road",Dry,No Controls,Champaign,2009,0,1,-88.25789642,40.12129974,US Hwy 150
1395,2213,1614,A-Injury,Turning,Clear,Daylight,Wet,Traffic Signal,Champaign,2009,0,1,-88.25800323,40.13219833,US Hwy 150
1396,2258,1659,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2010,0,1,-88.26909637,40.13690186,US Hwy 150
1397,2273,1674,A-Injury,Turning,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2010,0,1,-88.31469727,40.16040039,US Hwy 150
1398,2297,1698,A-Injury,Turning,Clear,Darkness,Dry,Traffic Signal,Champaign,2010,0,2,-88.25789642,40.11830139,US Hwy 150
1399,1666,1067,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Champaign,2007,0,1,-88.28620148,40.14709854, 
1400,1667,1068,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Champaign,2007,0,2,-88.28639984,40.14670181, 
1401,1242,643,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2005,0,1,-87.96040344,40.18180084,Co Rd 22
1402,1015,416,A-Injury,Sideswipe same direction,Clear,Daylight,Wet,Lane Use Marking,Champaign,1999,0,2,-88.28369904,40.14630127, 
1403,2278,1679,A-Injury,Overturned,Rain,Daylight,Wet,Lane Use Marking,Champaign,2010,0,3,-88.28209686,40.14690018, 
1404,1979,1380,A-Injury,Pedestrian,Clear,Daylight,Wet,No Controls,Champaign,2008,0,1,-88.29519653,40.08869934,Prairie Meadow Dr
1405,715,116,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2002,0,2,-88.27700043,40.13090134,Williamsburg Dr
1406,1686,1087,A-Injury,Turning,Unknown,Daylight,Dry,No Controls,Champaign,2007,0,2,-88.27700043,40.13100052,Williamsburg Dr
1407,1733,1134,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2007,0,3,-88.27700043,40.13100052,Williamsburg Dr
1408,1044,445,A-Injury,Turning,Clear,Daylight,Wet,Stop Sign/Flasher,Champaign,1999,0,1,-88.26820374,40.1128006,Kelly Ct
1409,2124,1525,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Champaign,2009,0,1,-88.27330017,40.10079956,Normandy Dr
1410,1866,1267,A-Injury,Fixed object,Clear,Daylight,Dry,Traffic Signal,Urbana,2008,0,1,-88.18370056,40.11589813,State Rte 10
1411,487,2488,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Urbana,2015,0,1,-88.19450378,40.13940048, 
1412,1852,1253,A-Injury,Angle,Clear,Daylight,Snow or slush,Stop Sign/Flasher,Urbana,2008,0,1,-88.19450378,40.13940048, 
1413,949,350,A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2000,0,2,-88.25789642,40.12319946,Maple St
1414,340,2341,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2014,0,1,-88.25270081,40.14250183,Ryder Ln
1415,1189,590,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Urbana,2005,0,1,-88.19010162,40.07699966,Fawn Hill Ct
1416,238,2239,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2013,0,1,-88.27149963,40.36980057,Co Rd 23
1417,2336,1737,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Champaign,2010,0,2,-88.32540131,40.09090042,Vale St
1418,595,2596,A-Injury,Fixed object,Rain,"Darkness, lighted road",Wet,No Controls,Rantoul,2015,0,2,-88.15589905,40.31629944,US Hwy 45
1419,661,62,A-Injury,Fixed object,Rain,"Darkness, lighted road",Wet,Lane Use Marking,Rantoul,2003,0,2,-88.15740204,40.30379868,US Hwy 45
1420,683,84,A-Injury,Pedestrian,Clear,Darkness,Wet,No Controls,Rantoul,2003,0,2,-88.15579987,40.30410004,US Hwy 45
1421,720,121,A-Injury,Parked motor vehicle,Clear,Daylight,Dry,Lane Use Marking,Ludlow,2001,0,1,-88.1207962,40.38460159,US Hwy 45
1422,793,194,A-Injury,Angle,Clear,Daylight,Wet,Lane Use Marking,Unincorporated,2001,0,2,-88.14520264,40.34049988,US Hwy 45
1423,807,208,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Rantoul,2001,0,2,-88.15579987,40.30730057,US Hwy 45
1424,809,210,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Ludlow,2001,0,1,-88.12059784,40.38499832,US Hwy 45
1425,824,225,A-Injury,Angle,Clear,Dusk,Dry,Stop Sign/Flasher,Ludlow,2001,0,6,-88.12059784,40.38499832,US Hwy 45
1426,872,273,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Rantoul,2000,0,2,-88.15579987,40.30979919,US Hwy 45
1427,896,297,A-Injury,Turning,Clear,"Darkness, lighted road",Wet,Traffic Signal,Rantoul,2000,0,2,-88.15579987,40.30730057,US Hwy 45
1428,957,358,A-Injury,Pedestrian,Clear,"Darkness, lighted road",Dry,No Passing,Rantoul,2000,0,1,-88.15579987,40.30759811,US Hwy 45
1429,970,371,A-Injury,Rear end,Rain,Dusk,Wet,No Controls,Unincorporated,2000,0,1,-88.13430023,40.36849976,US Hwy 45
1430,984,385,A-Injury,Angle,Clear,Darkness,Dry,Stop Sign/Flasher,Ludlow,1999,0,2,-88.12020111,40.38619995,US Hwy 45
1431,1004,405,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Rantoul,1999,0,1,-88.17009735,40.2840004,US Hwy 45
1432,1033,434,A-Injury,Overturned,Clear,Daylight,"Sand, mud, dirt",No Controls,Unincorporated,1999,0,1,-88.14499664,40.34220123,US Hwy 45
1433,1091,492,A-Injury,Fixed object,Clear,"Darkness, lighted road",Dry,No Controls,Rantoul,2004,0,1,-88.16880035,40.28710175,US Hwy 45
1434,1377,778,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Rantoul,2006,0,3,-88.15579987,40.31200027,US Hwy 45
1435,1927,1328,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Rantoul,2008,0,4,-88.17060089,40.28269958,US Hwy 45
1436,2295,1696,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2010,0,1,-88.13330078,40.37080002,US Hwy 45
1437,137,2138,A-Injury,Fixed object,Rain,Darkness,Wet,No Controls,Pesotum,2012,0,1,-88.2743988,39.91529846,Co Rd 16
1438,1631,1032,A-Injury,Fixed object,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2007,0,1,-88.30349731,39.93080139, 
1439,114,2115,A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2012,0,2,-88.26940155,39.94079971,US Hwy 45
1440,268,2269,A-Injury,Angle,Rain,Daylight,Wet,Stop Sign/Flasher,Tolono,2013,0,3,-88.26170349,39.99010086,US Hwy 45
1441,675,76,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Tolono,2003,0,2,-88.26429749,39.97320175,US Hwy 45
1442,704,105,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2002,0,1,-88.28959656,39.89889908,US Hwy 45
1443,820,221,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Tolono,2001,0,1,-88.2641983,39.97389984,US Hwy 45
1444,968,369,A-Injury,Angle,Clear,Daylight,Dry,Lane Use Marking,Pesotum,2000,0,1,-88.28269958,39.90359879,US Hwy 45
1445,1752,1153,A-Injury,Turning,Clear,Daylight,Dry,Lane Use Marking,Pesotum,2007,0,1,-88.28079987,39.90489960000001,US Hwy 45
1446,1760,1161,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Tolono,2007,0,1,-88.2641983,39.9742012,US Hwy 45
1447,2235,1636,A-Injury,Rear end,Clear,Darkness,Dry,No Controls,Tolono,2010,0,1,-88.26139832,39.99150085,US Hwy 45
1448,1388,789,A-Injury,Overturned,Clear,Daylight,Ice,Lane Use Marking,Rantoul,2006,0,1,-88.186203,40.30989838, 
1449,163,2164,A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,2012,0,1,-88.26110077,40.14910126,Interstate Dr
1450,63,2064,A-Injury,Fixed object,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2012,0,2,-88.34960175,40.00870132,Co Rd 19
1451,458,2459,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Sadorus,2015,0,1,-88.35089874,39.96559906,Co Rd 19
1452,2116,1517,A-Injury,Other object,Clear,Darkness,Dry,Stop Sign/Flasher,Unincorporated,2009,0,1,-88.34960175,40.01139832,Co Rd 19
1453,2164,1565,A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2009,0,4,-88.27870178,40.11289978, 
1454,549,2550,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Champaign,2015,0,1,-88.29869843,40.12179947,Clayton Rd
1455,1737,1138,A-Injury,Angle,Snow,Daylight,Snow or slush,Stop Sign/Flasher,Champaign,2007,0,4,-88.29550171,40.12239838,Clayton Rd
1456,95,2096,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Champaign,2012,0,6,-88.30290222,40.11940002, 
1457,1217,618,A-Injury,Overturned,Rain,Daylight,Wet,Lane Use Marking,Champaign,2005,0,1,-88.30470276,40.11899948, 
1458,1465,866,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Champaign,2006,0,1,-88.30290222,40.11940002, 
1459,2174,1575,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2009,0,2,-88.29380035,40.12760162,Pomona Dr
1460,1718,1119,A-Injury,Angle,Rain,Daylight,Wet,Stop Sign/Flasher,Champaign,2007,0,3,-88.28630066,40.09149933,Southmoor Dr
1461,85,2086,A-Injury,Pedestrian,Clear,"Darkness, lighted road",Dry,Other Warning Sign,Urbana,2012,0,1,-88.22799683,40.10419846,Gregory Dr
1462,507,2508,A-Injury,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2015,0,1,-88.2303009,40.10419846,Gregory Dr
1463,1581,982,A-Injury,Fixed object,Unknown,Darkness,Unknown,Traffic Signal,Champaign,2006,0,1,-88.2303009,40.10419846,Gregory Dr
1464,1781,1182,A-Injury,Sideswipe same direction,Fog/Smoke/Haze,Daylight,Dry,Yield,Urbana,2007,0,1,-88.21279907,40.11650085,McCullough St
1465,337,2338,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2014,0,1,-88.25789642,40.14080048, 
1466,2362,1763,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Champaign,2010,0,1,-88.2322998,40.12730026,Birch Village Dr
1467,1515,916,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,2006,0,1,-88.22709656,40.12220001,Beech St
1468,1923,1324,A-Injury,Overturned,Clear,Dusk,Dry,Stop Sign/Flasher,Urbana,2008,0,1,-88.22419739,40.12220001,Beech St
1469,154,2155,A-Injury,Overturned,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Thomasboro,2012,0,1,-88.18379974,40.24359894,Main St
1470,1837,1238,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Rantoul,2008,0,5,-88.14160156,40.30469894,Veterans Pkwy
1471,2148,1549,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Rantoul,2009,0,1,-88.1638031,40.2981987,Entrance Dr
1472,1379,780,A-Injury,Turning,Clear,Daylight,Dry,No Controls,St Joseph,2006,0,1,-88.0345993,40.11320114,8th St
1473,541,2542,A-Injury,Parked motor vehicle,Clear,Darkness,Unknown,No Controls,Savoy,2015,0,1,-88.25360107,40.05139923,Ellen Ave
1474,23,2024,A-Injury,Sideswipe same direction,Clear,Dusk,Dry,Lane Use Marking,Rantoul,2012,0,5,-88.18379974,40.30170059,I- 57
1475,38,2039,A-Injury,Rear end,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2012,0,6,-88.24900055,40.17739868,I- 57
1476,109,2110,A-Injury,Overturned,Rain,Darkness,Wet,Lane Use Marking,Unincorporated,2012,0,1,-88.30290222,39.93109894,I- 57
1477,158,2159,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2012,0,1,-88.30380249,40.0177002,I- 57
1478,200,2201,A-Injury,Overturned,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2013,0,2,-88.30349731,40.05540085,I- 57
1479,207,2208,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2013,0,8,-88.30290222,39.93579865,I- 57
1480,244,2245,A-Injury,Rear end,Fog/Smoke/Haze,Daylight,Wet,Lane Use Marking,Unincorporated,2013,0,2,-88.30310059,39.95399857,I- 57
1481,272,2273,A-Injury,Fixed object,Snow,Darkness,Snow or slush,Lane Use Marking,Champaign,2013,0,2,-88.30439758,40.08390045,I- 57
1482,323,2324,A-Injury,Head on,Clear,Darkness,Dry,Other Warning Sign,Champaign,2014,0,2,-88.29769897,40.13380051,I- 57
1483,416,2417,A-Injury,Overturned,Clear,Darkness,Ice,Lane Use Marking,Unincorporated,2014,0,1,-88.1292038,40.39910126,I- 57
1484,435,2436,A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2014,0,2,-88.30370331,40.07189941,I- 57
1485,448,2449,A-Injury,Fixed object,Rain,Darkness,Wet,Lane Use Marking,Unincorporated,2014,0,2,-88.3035965,40.06090164,I- 57
1486,451,2452,A-Injury,Fixed object,Sleet/Hail,Darkness,Ice,Lane Use Marking,Unincorporated,2015,0,2,-88.29769897,39.91930008,I- 57
1487,463,2464,A-Injury,Fixed object,Snow,Daylight,Ice,Lane Use Marking,Unincorporated,2015,0,2,-88.19760132,40.23730087,I- 57
1488,531,2532,A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2015,0,2,-88.23739624,40.18889999,I- 57
1489,552,2553,A-Injury,Fixed object,Clear,Daylight,Ice,Lane Use Marking,Champaign,2015,0,1,-88.30490112,40.12030029,I- 57
1490,579,2580,A-Injury,Other non collision,Rain,Daylight,Wet,Lane Use Marking,Unincorporated,2015,0,1,-88.30449677,40.08420181,I- 57
1491,606,7,A-Injury,Sideswipe same direction,Clear,Daylight,Dry,No Controls,Champaign,2003,0,1,-88.28579712,40.14450073,I- 57
1492,612,13,A-Injury,Sideswipe same direction,Clear,Daylight,Wet,No Controls,Unincorporated,2003,0,2,-88.21980286,40.20650101,I- 57
1493,619,20,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Unincorporated,2003,0,2,-88.25229645,40.17430115,I- 57
1494,625,26,A-Injury,Sideswipe same direction,Clear,Darkness,Dry,No Controls,Unincorporated,2003,0,3,-88.3035965,40.04740143,I- 57
1495,628,29,A-Injury,Sideswipe same direction,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2003,0,1,-88.28820038,39.91199875,I- 57
1496,629,30,A-Injury,Sideswipe same direction,Clear,Daylight,Dry,Lane Use Marking,Pesotum,2003,0,3,-88.27700043,39.90359879,I- 57
1497,640,41,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Champaign,2003,0,1,-88.30500031,40.11830139,I- 57
1498,649,50,A-Injury,Rear end,Clear,Daylight,Dry,Police/Flagman,Champaign,2003,0,3,-88.30500031,40.12409973,I- 57
1499,670,71,A-Injury,Overturned,Snow,Darkness,Ice,Lane Use Marking,Unincorporated,2003,0,3,-88.30370331,39.99810028,I- 57
1500,696,97,A-Injury,Fixed object,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2003,0,1,-88.30349731,39.97119904,I- 57
1501,699,100,A-Injury,Sideswipe opposite direction,Snow,Daylight,Snow or slush,Lane Use Marking,Unincorporated,2003,0,1,-88.20089722,40.22969818,I- 57
1502,711,112,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2002,0,1,-88.20369720000001,40.22330093,I- 57
1503,719,120,A-Injury,Overturned,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2002,0,3,-88.30310059,39.93880081,I- 57
1504,730,131,A-Injury,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Champaign,2002,0,1,-88.28630066,40.14390182,I- 57
1505,742,143,A-Injury,Other non collision,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2002,0,1,-88.30390167,40.01129913,I- 57
1506,763,164,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Champaign,2002,0,1,-88.30500031,40.11230087,I- 57
1507,771,172,A-Injury,Overturned,Clear,Dawn,Dry,Lane Use Marking,Unincorporated,2002,0,3,-88.30349731,39.97850037,I- 57
1508,836,237,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2001,0,2,-88.13300323,40.39179993,I- 57
1509,837,238,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2001,0,2,-88.30370331,39.9966011,I- 57
1510,838,239,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2001,0,1,-88.3035965,39.986400599999996,I- 57
1511,842,243,A-Injury,Fixed object,Snow,Daylight,Ice,No Controls,Champaign,2001,0,1,-88.30500031,40.11230087,I- 57
1512,844,245,A-Injury,Fixed object,Sleet/Hail,Darkness,Ice,Lane Use Marking,Unincorporated,2001,0,2,-88.30339813,39.96760178,I- 57
1513,845,246,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2001,0,1,-88.30370331,40.05609894,I- 57
1514,847,248,A-Injury,Overturned,Snow,Dawn,Ice,No Controls,Champaign,2001,0,3,-88.30220032,40.13000107,I- 57
1515,850,251,A-Injury,Fixed object,Rain,Daylight,Wet,No Controls,Unincorporated,2001,0,1,-88.30339813,39.96760178,I- 57
1516,857,258,A-Injury,Fixed object,Clear,Darkness,Dry,Lane Use Marking,Champaign,2001,0,1,-88.29530334,40.13610077,I- 57
1517,865,266,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2001,0,1,-88.16519928,40.34130096,I- 57
1518,869,270,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2000,0,1,-88.30380249,40.00690079,I- 57
1519,881,282,A-Injury,Rear end,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2000,0,1,-88.28679657,39.91090012,I- 57
1520,891,292,A-Injury,Overturned,Clear,Darkness,Dry,Lane Use Marking,Champaign,2000,0,1,-88.30480194,40.10219955,I- 57
1521,905,306,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2000,0,2,-88.26920319,39.8973999,I- 57
1522,912,313,A-Injury,Overturned,Clear,Darkness,Ice,Lane Use Marking,Unincorporated,2000,0,1,-88.20089722,40.22969818,I- 57
1523,940,341,A-Injury,Sideswipe same direction,Clear,Daylight,Dry,No Controls,Champaign,2000,0,2,-88.28309631,40.14680099,I- 57
